epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3202,0.94738,1.38963,0.89061,0.60262,0.5418,0.5535,0.37862,1.25804,1.52375,0.95229,0.00245,0.00245,0.02795
2,120.352,0.97648,1.26676,0.88884,0.63827,0.61692,0.61409,0.45504,1.04994,1.33635,0.91955,0.00494946,0.00494946,0.00544946
3,134.669,1.0224,1.23864,0.8976,0.67171,0.64872,0.64716,0.44727,1.24366,1.29422,0.95426,0.00499783,0.00499783,0.00499783
4,149.92,0.99239,1.15312,0.89246,0.69382,0.66496,0.66015,0.45133,1.24652,1.25138,0.96131,0.00499512,0.00499512,0.00499512
5,164.186,0.96681,1.12463,0.88954,0.68091,0.68623,0.67188,0.48371,1.11481,1.2078,0.93498,0.00499132,0.00499132,0.00499132
6,184.176,0.93924,1.0645,0.88915,0.72488,0.6864,0.6882,0.46275,1.23226,1.18007,0.9486,0.00498644,0.00498644,0.00498644
7,207.605,0.93964,1.03539,0.88552,0.709,0.71387,0.69363,0.49096,1.16052,1.12113,0.92555,0.00498048,0.00498048,0.00498048
8,224.294,0.9484,1.05258,0.88751,0.72101,0.70604,0.70334,0.50842,1.09811,1.10497,0.91467,0.00497345,0.00497345,0.00497345
9,244.427,0.92099,1.01304,0.88199,0.72201,0.68381,0.6915,0.48128,1.16181,1.18717,0.93477,0.00496534,0.00496534,0.00496534
10,268.962,0.8966,0.95859,0.8804,0.749,0.73017,0.71653,0.4978,1.20812,1.09734,0.95561,0.00495616,0.00495616,0.00495616
11,295.288,0.89466,0.94193,0.87513,0.74678,0.74081,0.7221,0.5119,1.13044,1.04954,0.92806,0.00494592,0.00494592,0.00494592
12,521.889,0.90281,0.93678,0.87828,0.73795,0.73258,0.7235,0.53081,1.03985,1.02325,0.90989,0.00493461,0.00493461,0.00493461
13,593.455,0.8875,0.92488,0.87315,0.75228,0.76111,0.72553,0.50621,1.16062,1.00362,0.92869,0.00492224,0.00492224,0.00492224
14,611.174,0.87169,0.90123,0.87446,0.76745,0.75775,0.73051,0.53091,1.07542,1.01312,0.91851,0.00490883,0.00490883,0.00490883
15,631.724,0.84862,0.87428,0.87153,0.77251,0.77897,0.73698,0.51722,1.14901,0.98065,0.92769,0.00489437,0.00489437,0.00489437
16,681.749,0.8624,0.85528,0.87357,0.72614,0.74057,0.72156,0.53334,1.03675,0.99736,0.91037,0.00487886,0.00487886,0.00487886
17,702.027,0.84881,0.8282,0.86943,0.77198,0.78335,0.74315,0.53731,1.06483,0.95162,0.90843,0.00486233,0.00486233,0.00486233
18,732.935,0.84062,0.83092,0.86522,0.76317,0.76934,0.73697,0.53641,1.0711,0.9513,0.91895,0.00484477,0.00484477,0.00484477
19,778.702,0.82222,0.82536,0.86662,0.77932,0.76618,0.73872,0.53238,1.08943,0.9355,0.91863,0.0048262,0.0048262,0.0048262
20,796.286,0.83938,0.81434,0.86447,0.78601,0.76914,0.74247,0.5479,1.01992,0.92497,0.90923,0.00480661,0.00480661,0.00480661
21,827.369,0.82778,0.79069,0.86508,0.78532,0.7942,0.75067,0.55334,1.01488,0.89133,0.90272,0.00478603,0.00478603,0.00478603
22,841.547,0.8236,0.80477,0.864,0.79939,0.78265,0.75527,0.53764,1.10584,0.90054,0.91788,0.00476445,0.00476445,0.00476445
23,858.37,0.81575,0.79448,0.86247,0.8012,0.77824,0.75149,0.55243,1.0394,0.91237,0.91413,0.00474189,0.00474189,0.00474189
24,883.028,0.80552,0.77181,0.85975,0.79802,0.77026,0.74684,0.54972,1.01207,0.91736,0.91204,0.00471835,0.00471835,0.00471835
25,898.978,0.80935,0.76576,0.86235,0.77001,0.78317,0.74713,0.55872,1.00176,0.9118,0.91282,0.00469386,0.00469386,0.00469386
26,918.233,0.80152,0.78613,0.86284,0.78048,0.77085,0.74299,0.55022,1.01589,0.91745,0.90686,0.00466841,0.00466841,0.00466841
27,954.92,0.7966,0.7378,0.85816,0.79652,0.79253,0.75693,0.55477,1.02667,0.87279,0.9151,0.00464203,0.00464203,0.00464203
28,969.992,0.79283,0.76354,0.85849,0.78218,0.8026,0.75419,0.54866,1.05726,0.85734,0.91204,0.00461471,0.00461471,0.00461471
29,1010.52,0.7853,0.73326,0.85406,0.79417,0.78833,0.75016,0.54706,1.05197,0.87731,0.92169,0.00458648,0.00458648,0.00458648
30,1036.3,0.78564,0.76239,0.85393,0.79148,0.78945,0.75696,0.55239,1.04174,0.88021,0.91096,0.00455734,0.00455734,0.00455734
31,1077.26,0.78194,0.72542,0.85189,0.80204,0.78306,0.75471,0.54928,1.05768,0.87562,0.91856,0.00452732,0.00452732,0.00452732
32,1102.34,0.77527,0.72884,0.85532,0.78693,0.79124,0.74884,0.54881,1.03858,0.86224,0.90908,0.00449641,0.00449641,0.00449641
33,1128.14,0.76856,0.7285,0.85461,0.80039,0.80486,0.75763,0.5549,1.04367,0.8548,0.9192,0.00446464,0.00446464,0.00446464
34,1143.94,0.76873,0.74352,0.85203,0.78837,0.78392,0.76242,0.55521,1.03258,0.86394,0.91595,0.00443202,0.00443202,0.00443202
35,1176.18,0.75604,0.69207,0.85005,0.80313,0.7962,0.75914,0.56531,0.99377,0.82737,0.90157,0.00439856,0.00439856,0.00439856
36,1207.72,0.75355,0.6998,0.84897,0.80182,0.79788,0.76128,0.55601,1.05157,0.85422,0.91849,0.00436428,0.00436428,0.00436428
37,1224.6,0.74239,0.68281,0.84696,0.80419,0.78669,0.7552,0.55911,1.01386,0.8511,0.90923,0.0043292,0.0043292,0.0043292
38,1238.94,0.74475,0.7025,0.84879,0.79754,0.79819,0.76176,0.56709,1.00151,0.84169,0.91037,0.00429332,0.00429332,0.00429332
39,1273,0.72435,0.68672,0.84289,0.79133,0.78526,0.75266,0.54381,1.05501,0.88384,0.91509,0.00425667,0.00425667,0.00425667
40,1289.17,0.7352,0.67753,0.84754,0.792,0.80028,0.75886,0.5531,1.05696,0.82104,0.91639,0.00421925,0.00421925,0.00421925
41,1315.34,0.74145,0.66463,0.84748,0.80403,0.80896,0.76096,0.56609,1.00825,0.81288,0.90995,0.0041811,0.0041811,0.0041811
42,1345.31,0.71886,0.67929,0.84259,0.80834,0.79113,0.7578,0.56047,0.99974,0.82635,0.90454,0.00414222,0.00414222,0.00414222
43,1379.32,0.7155,0.65141,0.84197,0.8073,0.79355,0.76015,0.55195,1.04898,0.81504,0.91282,0.00410262,0.00410262,0.00410262
44,1422.71,0.72298,0.68062,0.84398,0.80819,0.80196,0.76172,0.56157,1.01891,0.82091,0.91157,0.00406234,0.00406234,0.00406234
45,1439.46,0.70994,0.63797,0.841,0.80478,0.8046,0.76688,0.56036,1.03985,0.82395,0.91796,0.00402138,0.00402138,0.00402138
46,1460.53,0.70777,0.65143,0.84123,0.81504,0.79241,0.76279,0.56483,0.99139,0.81609,0.90636,0.00397977,0.00397977,0.00397977
47,1474.66,0.69385,0.63532,0.83665,0.80963,0.81212,0.76171,0.56598,0.9913,0.80331,0.90638,0.00393752,0.00393752,0.00393752
48,1513.33,0.69984,0.63574,0.83991,0.80713,0.79698,0.75945,0.56651,0.99967,0.80842,0.90568,0.00389464,0.00389464,0.00389464
49,1531.95,0.69939,0.62551,0.83945,0.8091,0.80191,0.76462,0.5548,1.04703,0.80958,0.91241,0.00385117,0.00385117,0.00385117
50,1566.48,0.69233,0.63961,0.83669,0.80396,0.79927,0.7598,0.56064,1.00202,0.80225,0.90466,0.00380712,0.00380712,0.00380712
51,1588.86,0.68091,0.61976,0.83629,0.81012,0.78553,0.76062,0.5567,1.04386,0.83296,0.91606,0.0037625,0.0037625,0.0037625
52,1605.7,0.6765,0.61636,0.8334,0.81079,0.79857,0.76079,0.56072,1.00701,0.8105,0.91017,0.00371734,0.00371734,0.00371734
53,1638.64,0.68178,0.63915,0.83687,0.80088,0.79455,0.75918,0.55717,1.03319,0.83264,0.92114,0.00367166,0.00367166,0.00367166
54,1653.52,0.67283,0.6077,0.83398,0.81536,0.80519,0.76754,0.56618,1.01462,0.81516,0.91647,0.00362547,0.00362547,0.00362547
55,1667.76,0.67375,0.62988,0.8339,0.81518,0.80619,0.76473,0.56142,1.01543,0.80039,0.91196,0.0035788,0.0035788,0.0035788
56,1684.24,0.661,0.60139,0.83255,0.81389,0.80673,0.76631,0.56748,1.00384,0.79049,0.90348,0.00353167,0.00353167,0.00353167
57,1716.13,0.66686,0.60972,0.83209,0.81988,0.79232,0.76185,0.56378,1.02061,0.80673,0.91288,0.0034841,0.0034841,0.0034841
58,1755.26,0.66001,0.59971,0.83222,0.81135,0.80366,0.75975,0.5671,1.00074,0.81099,0.91006,0.00343611,0.00343611,0.00343611
59,1774.99,0.65768,0.60055,0.83292,0.82042,0.80802,0.76227,0.56725,0.99792,0.79962,0.91245,0.00338772,0.00338772,0.00338772
60,1810.98,0.6572,0.60891,0.83115,0.80139,0.81535,0.76154,0.56354,1.00157,0.79908,0.91046,0.00333894,0.00333894,0.00333894
61,1843.94,0.65365,0.59166,0.82923,0.79851,0.81241,0.76687,0.5641,1.01766,0.79631,0.91252,0.00328982,0.00328982,0.00328982
62,1878.46,0.64661,0.60332,0.82767,0.81331,0.80139,0.76293,0.56166,1.02571,0.8125,0.9186,0.00324035,0.00324035,0.00324035
63,1927.4,0.6368,0.58093,0.82812,0.80981,0.81265,0.76589,0.56411,1.0126,0.80977,0.9156,0.00319058,0.00319058,0.00319058
64,1943.12,0.64362,0.59995,0.82739,0.80147,0.81013,0.75969,0.56032,1.02006,0.79816,0.91081,0.00314051,0.00314051,0.00314051
65,1958.75,0.63091,0.57819,0.82562,0.79856,0.81805,0.76393,0.56476,1.00764,0.79638,0.90893,0.00309017,0.00309017,0.00309017
66,1972.87,0.63142,0.57128,0.82647,0.81475,0.81019,0.76535,0.56599,1.00846,0.79235,0.91047,0.00303958,0.00303958,0.00303958
67,1995.46,0.62614,0.57924,0.82625,0.8067,0.8155,0.75992,0.55683,1.02811,0.78964,0.91257,0.00298877,0.00298877,0.00298877
68,2010.71,0.61986,0.58813,0.82514,0.81709,0.7969,0.76075,0.56607,1.00286,0.80096,0.90896,0.00293775,0.00293775,0.00293775
69,2027.56,0.62735,0.59091,0.8265,0.8116,0.80811,0.76551,0.56204,1.01594,0.78926,0.90984,0.00288656,0.00288656,0.00288656
70,2069.61,0.61794,0.57946,0.82447,0.82251,0.80478,0.76528,0.56263,1.03279,0.79046,0.91798,0.0028352,0.0028352,0.0028352
71,2092.58,0.61652,0.57168,0.82415,0.81153,0.80181,0.76388,0.55876,1.03804,0.79217,0.91469,0.00278371,0.00278371,0.00278371
72,2127.16,0.62384,0.58988,0.82549,0.81204,0.8081,0.76143,0.55979,1.02057,0.7858,0.91025,0.0027321,0.0027321,0.0027321
