epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9735,1.26587,3.97247,1.01266,0.03938,0.11888,0.02841,0.0216,1.21439,3.55008,0.94978,0.000326667,0.000326667,0.06766
2,25.666,1.08185,3.17892,0.924,0.06986,0.21693,0.06437,0.04761,1.20466,3.00896,0.94008,0.0006303,0.0006303,0.0346303
3,36.324,1.06044,2.83333,0.91219,0.08153,0.28171,0.08066,0.06145,1.10225,2.82938,0.92039,0.000903933,0.000903933,0.0015706
4,46.675,1.0146,2.59742,0.90065,0.09904,0.36824,0.13782,0.10524,1.08573,2.57163,0.91027,0.000865,0.000865,0.000865
5,56.8855,1.00187,2.40898,0.89866,0.22295,0.27364,0.20756,0.15727,1.04967,2.46004,0.89601,0.00082,0.00082,0.00082
6,68.2387,0.98826,2.2431,0.89765,0.2638,0.38269,0.26909,0.2041,1.07046,2.22851,0.90698,0.000775,0.000775,0.000775
7,78.3982,0.98132,2.09725,0.89482,0.3583,0.34695,0.30185,0.22045,1.14791,2.15107,0.92416,0.00073,0.00073,0.00073
8,88.6782,0.99294,1.99258,0.89654,0.40012,0.4162,0.38135,0.28098,1.11565,1.95243,0.91735,0.000685,0.000685,0.000685
9,98.9434,0.95765,1.85828,0.88957,0.41285,0.44217,0.42708,0.31888,1.07731,1.88838,0.90868,0.00064,0.00064,0.00064
10,109.289,0.93489,1.71582,0.88615,0.44694,0.48229,0.45468,0.33576,1.09652,1.77567,0.91118,0.000595,0.000595,0.000595
11,119.553,0.92312,1.61907,0.8819,0.50632,0.50555,0.49908,0.36727,1.0798,1.62489,0.90399,0.00055,0.00055,0.00055
12,151.287,0.93493,1.5548,0.88523,0.53294,0.52714,0.52311,0.38008,1.12539,1.59229,0.91776,0.000505,0.000505,0.000505
13,161.88,0.93487,1.49045,0.88059,0.57829,0.518,0.53286,0.39493,1.06512,1.52576,0.90543,0.00046,0.00046,0.00046
14,172.13,0.92067,1.43541,0.88311,0.60759,0.54114,0.55476,0.41284,1.07346,1.47012,0.90942,0.000415,0.000415,0.000415
15,182.186,0.89873,1.36402,0.8804,0.60616,0.55658,0.56521,0.4213,1.05665,1.46548,0.90339,0.00037,0.00037,0.00037
16,216.823,0.89005,1.29696,0.87528,0.63766,0.55015,0.58099,0.42194,1.10119,1.39472,0.90952,0.000325,0.000325,0.000325
17,227.406,0.89368,1.27281,0.87522,0.6077,0.57139,0.58188,0.43721,1.03132,1.38747,0.89682,0.00028,0.00028,0.00028
18,237.677,0.89,1.27067,0.8764,0.6324,0.57181,0.59482,0.4356,1.09305,1.34565,0.90669,0.000235,0.000235,0.000235
19,247.804,0.86903,1.22351,0.87192,0.67479,0.55144,0.59693,0.44389,1.04867,1.33408,0.89801,0.00019,0.00019,0.00019
20,263.498,0.87004,1.19788,0.87128,0.67512,0.55792,0.59882,0.44348,1.06688,1.34236,0.9053,0.000145,0.000145,0.000145
