epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2293.76,0.48705,0.49333,0.81099,0.92886,0.79164,0.86849,0.72539,0.68826,0.65963,0.85836,0.00029705,0.00029705,0.00029705
43,2348.28,0.48558,0.49641,0.81112,0.92663,0.78849,0.87346,0.72959,0.68752,0.63902,0.85794,0.0002921,0.0002921,0.0002921
44,2392.25,0.49652,0.5037,0.81317,0.94297,0.77998,0.87473,0.73052,0.68788,0.63869,0.85833,0.00028715,0.00028715,0.00028715
45,2422.94,0.49046,0.49192,0.8115,0.93312,0.78594,0.87358,0.72697,0.6927,0.64911,0.8581,0.0002822,0.0002822,0.0002822
46,2495.36,0.49173,0.49982,0.81182,0.90382,0.78357,0.86375,0.72324,0.68242,0.66561,0.85718,0.00027725,0.00027725,0.00027725
47,2556.06,0.49517,0.49961,0.81201,0.92573,0.78793,0.87011,0.72761,0.68674,0.65196,0.85844,0.0002723,0.0002723,0.0002723
48,2606.99,0.49015,0.49904,0.81183,0.91011,0.79052,0.87062,0.72826,0.67753,0.64445,0.85679,0.00026735,0.00026735,0.00026735
49,2658.4,0.48833,0.49342,0.81077,0.93561,0.78656,0.87363,0.73214,0.68081,0.64227,0.8571,0.0002624,0.0002624,0.0002624
50,2719.8,0.484,0.47604,0.81052,0.92782,0.78093,0.86727,0.73029,0.67922,0.65903,0.85755,0.00025745,0.00025745,0.00025745
51,2749.4,0.48498,0.49781,0.81078,0.93573,0.78614,0.87545,0.73075,0.68915,0.63376,0.85767,0.0002525,0.0002525,0.0002525
52,2807.72,0.48633,0.488,0.81069,0.92265,0.79716,0.87554,0.73104,0.6879,0.63847,0.85661,0.00024755,0.00024755,0.00024755
53,2859.08,0.49936,0.51231,0.81306,0.92999,0.79071,0.87648,0.7321,0.68659,0.63733,0.85653,0.0002426,0.0002426,0.0002426
