epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25685,0.20481,0.3497,0.80785,0.9969,0.99891,0.995,0.95854,0.22575,0.23844,0.64681,0.00245,0.00245,0.02795
2,13.9112,0.31804,0.34192,0.80504,0.99411,0.99772,0.995,0.96146,0.31821,0.31815,0.65618,0.00494879,0.00494879,0.00544879
3,20.6556,0.36811,0.38287,0.81322,0.99352,0.99923,0.995,0.96157,0.28518,0.31531,0.65635,0.00499512,0.00499512,0.00499512
4,27.1803,0.33693,0.35541,0.81288,0.9961,1,0.99497,0.94309,0.32462,0.28787,0.66587,0.00498902,0.00498902,0.00498902
5,34.0381,0.31565,0.32985,0.81493,0.99821,1,0.995,0.95787,0.29354,0.25653,0.66638,0.00498048,0.00498048,0.00498048
6,40.8791,0.3146,0.31107,0.82216,0.9975,0.99983,0.995,0.95206,0.3016,0.2492,0.66503,0.00496953,0.00496953,0.00496953
7,47.6539,0.30696,0.30075,0.81946,0.99754,0.99951,0.995,0.968,0.22018,0.23449,0.65426,0.00495616,0.00495616,0.00495616
8,54.2971,0.29364,0.29359,0.81627,0.99777,1,0.995,0.95194,0.30598,0.25337,0.65577,0.00494039,0.00494039,0.00494039
9,60.6639,0.28356,0.28154,0.80977,0.99828,1,0.995,0.95967,0.2567,0.22352,0.6542,0.00492224,0.00492224,0.00492224
10,67.164,0.27771,0.27605,0.81898,0.99746,1,0.995,0.98508,0.19735,0.20606,0.65485,0.00490173,0.00490173,0.00490173
11,73.5631,0.26733,0.2668,0.8126,0.99728,0.9996,0.995,0.99308,0.16123,0.19077,0.65096,0.00487886,0.00487886,0.00487886
12,80.172,0.26161,0.26285,0.81028,0.99767,1,0.995,0.97607,0.2016,0.19838,0.65155,0.00485368,0.00485368,0.00485368
13,86.733,0.25889,0.25964,0.81302,0.99796,1,0.995,0.97111,0.20608,0.19748,0.65244,0.0048262,0.0048262,0.0048262
14,93.4726,0.24975,0.25254,0.81023,0.99816,0.9998,0.995,0.97677,0.23527,0.20063,0.65501,0.00479644,0.00479644,0.00479644
15,99.9499,0.24609,0.2494,0.81102,0.99787,0.99982,0.995,0.99089,0.18328,0.18884,0.65106,0.00476445,0.00476445,0.00476445
16,106.735,0.23944,0.24738,0.80888,0.9988,1,0.995,0.97331,0.22793,0.21442,0.65132,0.00473024,0.00473024,0.00473024
17,113.306,0.23999,0.25132,0.81081,0.99843,1,0.995,0.98963,0.2158,0.20949,0.65129,0.00469386,0.00469386,0.00469386
18,119.841,0.22966,0.24442,0.81442,0.99843,0.99988,0.995,0.99482,0.15239,0.17856,0.65196,0.00465534,0.00465534,0.00465534
19,126.501,0.22503,0.24316,0.80492,0.99843,0.99992,0.995,0.9896,0.17955,0.18429,0.6511,0.00461471,0.00461471,0.00461471
20,132.934,0.21993,0.23033,0.81021,0.99868,1,0.995,0.99176,0.19695,0.18923,0.65174,0.00457202,0.00457202,0.00457202
21,139.797,0.21722,0.23076,0.80207,0.99872,1,0.995,0.99193,0.16982,0.19204,0.65044,0.00452732,0.00452732,0.00452732
22,146.385,0.21428,0.23711,0.8094,0.99885,1,0.995,0.99419,0.17476,0.18905,0.65179,0.00448063,0.00448063,0.00448063
23,153.294,0.20909,0.22627,0.80998,0.99853,1,0.995,0.99452,0.16943,0.16276,0.65182,0.00443202,0.00443202,0.00443202
24,159.92,0.2095,0.21763,0.80885,0.99873,1,0.995,0.99178,0.16649,0.15862,0.64687,0.00438152,0.00438152,0.00438152
25,166.667,0.20486,0.20817,0.80704,0.99875,1,0.995,0.99456,0.13912,0.15795,0.64502,0.0043292,0.0043292,0.0043292
26,173.347,0.20737,0.22198,0.80539,0.99814,1,0.995,0.99463,0.18253,0.17897,0.6476,0.00427509,0.00427509,0.00427509
27,179.745,0.19893,0.22102,0.80202,0.99828,0.99995,0.995,0.995,0.1419,0.17304,0.64877,0.00421925,0.00421925,0.00421925
28,186.433,0.19172,0.21762,0.81273,0.99857,1,0.995,0.995,0.13493,0.15685,0.64816,0.00416175,0.00416175,0.00416175
29,192.944,0.1868,0.21434,0.80506,0.99855,1,0.995,0.995,0.15923,0.16719,0.64818,0.00410262,0.00410262,0.00410262
30,199.689,0.18639,0.21188,0.80468,0.99884,1,0.995,0.995,0.13351,0.16046,0.64723,0.00404194,0.00404194,0.00404194
31,206.119,0.18204,0.20954,0.80506,0.99866,1,0.995,0.99498,0.10501,0.14584,0.64787,0.00397977,0.00397977,0.00397977
32,212.896,0.17835,0.19917,0.81037,0.99858,0.99975,0.995,0.99491,0.16877,0.15186,0.64808,0.00391616,0.00391616,0.00391616
33,219.381,0.18099,0.19659,0.8072,0.99859,1,0.995,0.995,0.10632,0.13533,0.64356,0.00385117,0.00385117,0.00385117
34,225.895,0.17864,0.19391,0.80678,0.99895,1,0.995,0.99499,0.13953,0.14602,0.64381,0.00378488,0.00378488,0.00378488
35,232.477,0.17384,0.19533,0.8026,0.99865,1,0.995,0.995,0.11681,0.13018,0.6436,0.00371734,0.00371734,0.00371734
36,238.929,0.16951,0.1899,0.80396,0.99858,1,0.995,0.995,0.09441,0.13714,0.64304,0.00364863,0.00364863,0.00364863
37,245.6,0.16463,0.19507,0.80483,0.99853,1,0.995,0.995,0.10226,0.14116,0.64416,0.0035788,0.0035788,0.0035788
38,252.208,0.16412,0.19779,0.8076,0.99864,1,0.995,0.995,0.12005,0.14117,0.64396,0.00350794,0.00350794,0.00350794
39,259.011,0.16139,0.18594,0.79928,0.99854,1,0.995,0.99462,0.13287,0.13944,0.6424,0.00343611,0.00343611,0.00343611
40,265.672,0.16034,0.1843,0.80146,0.99898,1,0.995,0.995,0.11474,0.13247,0.64436,0.00336338,0.00336338,0.00336338
41,272.369,0.15584,0.18326,0.79754,0.9988,1,0.995,0.995,0.12185,0.13075,0.64217,0.00328982,0.00328982,0.00328982
42,279.064,0.15551,0.1807,0.80456,0.9989,1,0.995,0.995,0.10788,0.12993,0.64235,0.0032155,0.0032155,0.0032155
43,285.549,0.14946,0.17742,0.8002,0.99876,1,0.995,0.995,0.12016,0.12659,0.641,0.00314051,0.00314051,0.00314051
44,292.245,0.14882,0.17951,0.7999,0.9987,1,0.995,0.995,0.10216,0.12442,0.64098,0.0030649,0.0030649,0.0030649
45,298.754,0.1421,0.17945,0.79846,0.99862,1,0.995,0.995,0.08813,0.12091,0.64224,0.00298877,0.00298877,0.00298877
46,305.57,0.14049,0.18201,0.79895,0.99884,1,0.995,0.995,0.09509,0.12182,0.64194,0.00291218,0.00291218,0.00291218
47,312.247,0.13982,0.17142,0.80299,0.99885,1,0.995,0.995,0.09375,0.11303,0.64124,0.0028352,0.0028352,0.0028352
48,319.076,0.13555,0.16957,0.79769,0.99888,1,0.995,0.995,0.0825,0.11248,0.64073,0.00275792,0.00275792,0.00275792
49,325.814,0.13461,0.17508,0.79468,0.99886,1,0.995,0.995,0.09911,0.12263,0.64034,0.00268041,0.00268041,0.00268041
50,332.378,0.12854,0.17183,0.79812,0.99871,1,0.995,0.995,0.09739,0.12553,0.64029,0.00260274,0.00260274,0.00260274
51,339.042,0.12876,0.17709,0.80605,0.99899,1,0.995,0.995,0.09366,0.12272,0.63913,0.002525,0.002525,0.002525
52,345.632,0.1248,0.16745,0.80042,0.99882,1,0.995,0.995,0.10332,0.12022,0.64056,0.00244726,0.00244726,0.00244726
53,352.294,0.12281,0.16594,0.79683,0.99875,1,0.995,0.995,0.0977,0.11927,0.639,0.00236959,0.00236959,0.00236959
54,358.838,0.12082,0.16821,0.79858,0.99875,1,0.995,0.995,0.06932,0.10797,0.63855,0.00229208,0.00229208,0.00229208
